,ID,SMILES,HOMO,LUMO,S1,T1,f_S1,f_T1
0,0,N#Cc1ccc(-n2c(=O)c3ccccc3c3cc(-c4ccc(C5(c6ccccc6)c6ccccc6-c6ccccc65)cc4)ccc3c2=O)cc1C#N,-6.018889566,-2.254192376,3.5242,2.9336,0.037,0.0
1,1,Cc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(C)ccc1N2c1cc2nc(C)cnc2cc1C,-4.852336848,-1.897723036,2.3797,2.3649,0.0002,0.0
2,2,Cc1cn(-c2cc3c4c(cccc4c2)C(=O)N(c2ccccc2)C3=O)c2ccc(-c3ccc4c(c3)C3(c5ccccc5S4)c4ccccc4-c4ccccc43)cc12,-5.236017588,-2.52521792,2.3672,2.0496,0.0549,0.0
3,3,Fc1ccccc1N(c1ccccc1)c1nc2c(-c3ccccc3)c(-n3ccc4cc(-n5c6ccccc6c6ccccc65)ccc43)ccc2nc1-c1ccc(N2c3ccccc3Sc3ccccc32)cc1,-4.9524748,-2.19595998,2.3893,2.3847,0.0003,0.0
4,4,CN(C)c1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1ccccc1N2c1ccc2c(c1)Oc1cccc3c1B2c1ccccc1O3,-4.379130602,-1.818537862,2.1014,2.0943,0.0008,0.0
5,5,Cc1cc2c3cc(-c4cc5c(cc4-n4c6ccc(-n7c8ccccc8c8cc(C9(c%10ccccc%10)c%10ccccc%10-c%10ccccc%109)ccc87)cc6c6c7c(ccc64)-c4ccccc4C7(c4ccccc4)c4ccccc4)C(C)(C)c4ccccc4-5)ccc3n(C(C#N)C#N)c2cc1-c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,-4.93478739,-1.370910332,3.1872,2.8872,0.0206,0.0
6,6,O=C1c2ccccc2C2(c3ccccc31)c1ccccc1N(c1ccc(P(=O)(c3ccccc3)c3ccccc3)cc1)c1ccc(-c3cc4c5ccccc5ccc4n3-c3cccc4c3-c3ccccc3C4=O)cc12,-4.879820362,-2.271879786,2.1366,2.1321,0.0006,0.0
7,8,N#Cc1c(N(c2ccc(/C=N/c3ccccc3)cc2)c2ccc(/C=N/c3ccccc3)cc2)ccc(-c2ccc3c(c2)C2(c4ccccc4Oc4ccccc42)c2ccccc2-3)c1-c1cccc2c1sc1ccccc12,-5.269759724,-1.75241416,3.2311,2.3405,0.5629,0.0
8,9,Cc1cc(P(=O)(c2ccccc2)c2ccccc2-c2cnc(C#N)nc2)cc(C)c1-c1ccc2c(c1)c1cc(-c3ccc4c(c3)C3(c5ccccc5-c5ccccc53)c3ccccc3N4c3ccc(-n4c5ccccc5c5cc(C6(c7ccccc7)c7ccccc7-c7ccccc76)ccc54)c4ccccc34)ccc1n2/C=C/c1ccc(C(F)(F)F)cc1,-4.942406582,-2.317594938,2.3545,2.3545,0.0,0.0
9,10,c1ccc2c(c1)Nc1ccccc1C21c2ccccc2C2(c3ccccc3N(c3cccc4c3Oc3cccc5c3B4c3ccccc3O5)c3ccccc32)c2ccc(-c3ccc4ccc(N5c6ccccc6Oc6ccccc65)nc4n3)cc21,-4.968801640000001,-1.819354204,2.6143,2.6039,0.0002,0.0
10,11,Cc1c(C)n(-c2ccc(-c3cc(-c4ccc(Br)c(-n5c6ccc(C#N)cc6c6cc(C#N)c(-n7c8ccccc8c8ccc9c(c87)-c7ccccc7C97c8ccccc8-c8ccccc87)cc65)c4)nc(-c4ccccc4)n3)c(F)c2)c2ccccc12,-5.325543094,-2.409297356,2.6122,2.611,0.0001,0.0
11,12,CC1(C)c2ccccc2N(c2cccc3c2Oc2cccc4c2B3c2ccccc2O4)c2cc(-c3nc(N4c5ccccc5C5(c6ccccc6Oc6ccccc65)c5ccccc54)co3)ccc21,-5.075198214,-1.9184037,2.6228,2.5975,0.0001,0.0
12,14,Fc1cscc1-c1sc2c(sc3cc(C4=CC5SC=CC5S4)sc32)c1-c1ccc2oc3ccc(-c4cc5sc6cc(C7=CC8Sc9ccsc9C8S7)sc6c5s4)cc3c2c1,-5.258875164,-1.848198288,3.0795,1.998,1.2107,0.0
13,15,Cc1ccc(-c2ccc3c(c2)S(=O)(=O)c2cc(N4c5ccccc5C(c5ccccc5)(c5ccccc5)c5ccccc54)ccc2C3=O)c(-n2c3ccccc3c3cc4c(cc32)C(c2ccccc2)(c2ccccc2)c2ccccc2-4)c1,-5.276834688,-2.735834156,2.0364,2.0245,0.0037,0.0
14,16,CC1(C)c2ccccc2N(c2ccc3c(c2)c2cc(N4c5ccccc5Sc5ccccc54)ccc2c2nc4cccnc4nc32)c2c1ccc1c2oc2ccccc21,-5.000366864,-2.682771926,1.9416,1.9361,0.0004,0.0
15,18,O=C1c2ccccc2C(=O)N1c1ccc(-n2c3ccc(-c4ccc(Cc5ccc6c(c5)c5ccccc5n6-c5ccccc5)cc4)cc3c3c4ccccc4ccc32)nc1,-5.180506332,-2.544538014,2.3374,2.3056,0.0003,0.0
16,22,N#Cc1ccc(-c2ccc(-c3c(F)cc(C#N)c(-c4ccc(Br)c(-n5c6ccccc6c6cc(C#N)ccc65)c4)c3C#N)cc2F)cc1,-5.964466766,-2.966858942,2.6221,2.6151,0.0041,0.0
17,23,c1cc(-c2ccc3c(c2)oc2ccccc23)nc(N(c2ccc3c(c2)C2(c4ccccc4S3)c3ccccc3-c3ccccc32)c2ccnc3cc(N4c5ccccc5Sc5ccccc54)ccc23)c1,-4.920365348000001,-1.6152687040000002,2.7469,2.5709,0.0115,0.0
18,24,CCCCc1cc2ccn(-c3ccc4cc(-c5cc(-n6c7ccc(C#N)cc7c7cc(CC)ccc76)c6c(c5)c5cc(-c7cnc(C#N)nc7)ccc5n6/C=C/c5ccccc5)c5ccc(COB(F)F)cc5c4c3)c2cc1CCCC,-5.362278484000001,-2.280043206,2.8692,2.4872,0.0284,0.0
19,26,Cc1cc(P(=O)(c2ccccc2)c2ccccc2)cc(C)c1-c1ccc2c(c1)c1cc(-c3ccc4c5c3Oc3ccccc3B5c3ccccc3O4)ccc1n2-c1ccc2c(c1)oc1ccccc12,-5.20826196,-1.64084742,3.1053,2.7269,0.064,0.0
20,27,CC1(C)c2ccccc2N(c2ccc(-n3c4ccccc4c4c5c(ccc43)-c3ccccc3C5(c3ccccc3)c3ccccc3)c3nc(-c4cnc(-c5ccc6ccccc6c5)nc4-c4ccc5ccccc5c4)c(-c4ccccc4)nc23)C2C=CC=CC21,-5.000638978,-2.354330328,2.1137,1.9708,0.0237,0.0
21,28,N#Cc1c(-c2ccc(Cc3ccccc3)cc2)c(F)cc(-n2c3ccccc3c3c4c(ccc32)-c2ccccc2C4(c2ccccc2)c2ccccc2)c1-c1cncnn1,-5.30350186,-2.226708862,2.5373,2.2978,0.0212,0.0
22,30,CN1C(=O)c2c(-c3ccccc3)c3cc4ccccc4cc3c3c([N+](=O)[O-])ccc1c23,-5.693713336,-2.3752831060000004,3.0287,1.8893,0.1531,0.0
23,31,CCCCc1ccc2c(c1)c1ccc3c(c4cc(C(C)C)ccc4n3CC)c1n2-c1cc(C#N)c(-c2ccc3c(c2)nc(-c2ccc4c(c2)C(C)(C)c2ccccc2-4)n3-c2ccc3ccccc3c2)c(C#N)c1-c1cc(C(C)(C)C)ccc1F,-5.049891612,-1.931465172,2.5911,2.5683,0.0018,0.0
24,32,Cc1cc(-c2nc(-c3ccc4c(c3)-c3ccccc3C4(C)C)nc(C3(c4ccccc4)c4ccccc4-c4ccccc43)n2)cc(-n2c3ccccc3c3c2ccc2c4cc(-c5nc(-c6cccc7ccccc67)nc(C6(c7ccccc7)c7ccccc7-c7ccccc76)n5)ccc4n(-c4ccccc4)c23)c1,-5.093974080000001,-1.960037142,2.7116,2.4525,0.0024,0.0
25,33,O=c1cc(N2c3ccccc3Oc3ccccc32)c2ccc3c(c4ccccc4n3-c3ccc4c(c3)C3(c5ccccc5Oc5ccccc53)c3ccccc3-4)c2o1,-4.838186920000001,-1.835681044,2.249,2.2289,0.0002,0.0
26,34,CC1(C)c2ccccc2N2c3ccccc3C3(c4ccccc4-c4cc(-c5nc6c([nH]5)C5CC=Cc7ccc8cccc-6c8c75)ccc43)c3cccc1c32,-4.85859547,-1.2642416440000002,3.0661,2.0848,0.1872,0.0
27,37,CC1(C)c2cc(-c3ccccc3C3(c4ccccc4)c4ccccc4-c4ccc(-n5c6ccccc6c6c7c(ccc65)-c5ccccc5C75c6ccccc6-c6ccccc65)cc43)ccc2N(c2cncnc2-c2ccc(C3(c4nc(-c5ccccc5)nc(-c5ccccc5)n4)c4ccccc4-c4ccccc43)cc2)C2C=CC=CC21,-5.045537788,-1.8639809000000005,2.9254,2.4734,0.0295,0.0
28,38,CC1=CN(c2ccc(-c3cc4c(=O)c5cc(N6C7=CC=CCC7C(c7ccccc7)(c7ccccc7)c7ccccc76)ccc5n5c6ccc(C(C)(C)C)cc6c(=O)c(c3)c45)cc2)c2ccccc2C1(C)C,-4.6463465500000005,-2.3608610640000003,1.8629,1.8403,0.007,0.0
29,39,O=P(c1ccccc1)(c1ccccc1)c1ccccc1-c1nc(-c2ccccc2)c(-n2c(-n3c4ccccc4c4ccccc43)cc3cc(-n4c5ccccc5c5oc6ccccc6c54)ccc32)o1,-5.0594156020000005,-1.601118776,3.1678,2.6959,0.0146,0.0
30,40,CCc1nc(C#N)c(C#N)nc1-n1ccc2c3cc(-n4c5ccccc5c5cc(C)ccc54)c(-n4c5ccccc5c5cc6c(cc54)C(c4ccccc4)(c4ccccc4)c4ccccc4-6)cc3ccc21,-5.213160012,-2.9121640280000003,2.0509,2.0254,0.0142,0.0
31,41,CN(C)c1cccc2c1C1(c3ccccc3-2)c2ccccc2N(c2cnc(S(=O)(=O)c3cnccn3)cn2)c2ccccc21,-5.731537182,-2.01636474,3.2946,2.7449,0.0115,0.0
32,45,N#CCc1ccc(-c2c(-n3c4ccccc4c4ccc5c6ccccc6sc5c43)cc(C#N)nc2-n2c3ccccc3c3cccnc32)s1,-5.7508572760000005,-2.409025242,2.7162,2.5555,0.0104,0.0
