,ID,SMILES,HOMO,LUMO,S1,T1,f_S1,f_T1
0,0,CN1c2ccccc2Sc2cc(COCCSCc3cccc(-c4ccccc4)n3)ccc21,-4.937508530000001,-1.033488972,3.5123,3.1346,0.0001,0.0
1,1,c1cnc2c(c1)[SiH2:2]c1cc(COCCSCc3cccc4ncc5ccccc5c34)ccc1[CH2:2]2,-5.939432278,-1.3592094300000002,3.954,2.7607,0.0029,0.0
2,2,C(C=Cc1ccc2c(c1)c1ccccc1n2-c1ccccc1)=Cc1ccc2ccsc2c1,-4.930433566,-1.5039740780000002,3.0538,1.8858,0.6671,0.0
3,3,Cc1c(C)c(-c2ccc3c(c2)ncn3C)c(C)c(C)c1CSCc1ccc2c(c1)[SiH2:2]c1ncccc1[CH2:2]2,-5.745142882000001,-0.913758812,4.3917,3.4455,0.0075,0.0
4,4,Cc1cc(-c2cccc3c2[SiH2:2]c2cccnc2-3)c(C)cc1CSCc1nccc2c1[SiH2:2]c1ccccc1-2,-5.816708864000001,-1.60139089,3.6696,3.0338,0.0148,0.0
5,5,Cc1cc(C)c(-c2cnoc2)c(C)c1C=CN1c2ccccc2Oc2ccccc21,-4.821043738,-0.934983704,3.3204,2.7049,0.2906,0.0
6,6,c1ccc(-c2cc(CSCc3ccc(-c4ccc(-c5ncccn5)cc4)cc3)ccn2)nc1,-5.890179644000001,-1.556764194,3.9699,2.8157,0.8194,0.0
7,7,C(=Cc1cnc2c(c1)[SiH2:2]c1ccccc1[SiH2]2)CSCc1ncon1,-6.23685288,-1.60275146,4.0237,2.7044,0.0372,0.0
8,8,CN1c2ccccc2Sc2c(CSCc3ccc(-c4ccccc4)nc3)cccc21,-5.158737212,-1.118660654,3.6746,3.074,0.0032,0.0
9,9,c1ccc(-n2cnc3cccc(CSCc4ncnc5ccccc45)c32)cc1,-5.8172530920000005,-1.844116578,3.383,2.8729,0.0004,0.0
10,10,c1cncc(-c2ccccc2-c2ccc3ccncc3c2)c1,-5.966915792,-1.460163724,4.3509,2.6576,0.039,0.0
11,11,Cc1c(C)c(C=Cn2cnc3nc4ncn(C=Cc5c(C)c(C)c(-c6ccnc7c6-c6cccnc6[SiH2:2]7)c(C)c5C)c4cc32)c(C)c(C)c1Br,-5.99603199,-1.5896899880000002,3.9234,2.9809,0.0002,0.0
12,12,Nc1ccccc1-c1ccc(-c2ccc(-c3nnc[nH]3)cc2)cc1,-5.405272496,-1.422884106,3.5408,2.7862,0.3454,0.0
13,13,Cc1c(C)c(-c2c(C)c(C)c(-n3cccn3)c(C)c2C)c(C)c(C)c1-c1ccc2c(c1)-c1ccncc1[SiH2:2]2,-6.128551508,-1.550233458,4.0915,3.026,0.0126,0.0
14,14,Cc1c(C)c(-c2ccccc2C=O)c(C)c(C)c1CSCc1cccc2c1[SiH2:2]c1ncccc1[CH2:2]2,-5.830858792,-1.6615280840000002,3.4681,2.9883,0.0003,0.0
15,15,c1ccc2c(c1)-c1cc(-c3ccc(C4(c5ccc(-c6ccc(-c7cccc8oc9ncccc9c78)cc6)cc5)CCCCC4)cc3)ncc1[SiH2:2]2,-5.769088914,-1.649282954,3.7877,2.8597,0.5063,0.0
16,16,Cc1cc(-c2ccccc2C#N)c(C)cc1C#Cc1cccc2c1Cc1ccccc1-2,-5.655889490000001,-1.592683242,3.6582,2.5548,0.5361,0.0
17,17,c1ccc(-n2c3ccccc3c3cccc(-c4ccc(-c5ccc(-c6csc7ccccc67)cc5)cc4)c32)cc1,-5.339693022,-1.149953764,3.7169,2.8505,0.361,0.0
18,18,Cc1cc(-c2ccc3ncn(C)c3c2)c(C)cc1-c1ccc(-n2c3ccccc3c3cccc(C)c32)cc1,-5.255065568000001,-0.99593724,3.7151,3.1512,0.0921,0.0
19,19,c1ccc(-c2cnc(-c3ccc(C4(c5ccc(-c6ccc(C7(c8ccc(-c9cccc%10c9sc9ccccc9%10)cc8)CCCCC7)cc6)cc5)CCCCC4)cc3)cn2)cc1,-5.613167592,-1.700984614,3.6154,2.6397,0.5911,0.0
20,20,Cn1c2ccccc2c(=O)c2c(COCCOCc3ccncc3)cccc21,-5.613983934,-1.593499584,3.5349,2.7291,0.0001,0.0
21,21,Cc1cc(-c2ccc(-c3ccc4ccccc4c3N(C)C)cc2)c(C)cc1C#N,-5.320100814,-1.53336239,3.332,2.5254,0.0557,0.0
22,22,Cc1cc(-c2cc(C)c(-c3cccc4c3ncn4-c3ccccc3)cc2C)c(C)cc1-c1cc2c(cn1)-c1ccccc1[SiH2:2]2,-5.5924869280000005,-1.4574425840000005,3.7447,2.7543,0.6142,0.0
23,23,Cn1c2ccc(COCc3ccc(C4(c5ccc(-c6nccc7c6-c6ccccc6[SiH2:2]7)cc5)CCCCC4)cc3)cc2c2cc3ccccc3cc21,-5.044177218000001,-1.4013871,3.4679,2.3034,0.0,0.0
24,24,Cn1c2ccccc2c(=O)c2ccc(-n3ccc(=O)c4ccccc43)cc21,-5.791130148000001,-2.0013984700000003,3.2721,2.7238,0.0558,0.0
25,25,Cc1cc(-c2ccc(C(F)(F)F)cc2)c(C)cc1CSCc1cnc2sc3ncccc3c2c1,-6.259438342,-1.7159508840000002,3.9217,3.155,0.0096,0.0
26,26,O=Cc1ccc(C=O)c(C=CC#Cc2cccc3c2[SiH2:2]c2ccncc2-3)c1,-6.146238918,-2.7739301160000003,2.9434,2.0534,0.2981,0.0
27,27,Cc1cc(C)c(-c2cccc3ccccc23)c(C)c1-c1ccnc2c1[SiH2:2]c1ccccc1[CH2:2]2,-5.803919506000001,-1.062333056,4.5507,2.6953,0.022,0.0
28,28,CN1c2ccccc2Oc2cc(C#Cc3ccc(-c4c5ncoc5nc5ocnc45)cc3)ccc21,-4.850159936000001,-2.120312288,2.4781,1.9978,0.5958,0.0
29,29,c1cnc(-c2ccccc2CSCCSCn2ccc3cc4ccoc4cc32)nc1,-5.195472602,-1.32791632,3.2955,2.8246,0.0003,0.0
30,30,CN(C)c1cc(CSCc2ccc3ncncc3c2)cc2ccccc12,-5.247990604,-1.783435156,2.9273,2.537,0.0025,0.0
31,31,Cc1c(C)c(-c2ccc3c(n2)sc2ncccc23)c(C)c(C)c1C=Cc1ccc(P(c2ccccc2)c2ccccc2)cc1,-5.515478666000001,-1.595132268,3.5664,2.5595,0.3357,0.0
32,32,c1cnc2c(c1)-c1c(COCc3ccnc4oc5ccccc5c34)cccc1[SiH2:2]2,-6.23685288,-1.446013796,4.1409,2.9464,0.0004,0.0
