MolID,SMILES,HOMO,LUMO,S1,T1,Est
0,CCn1c2ccccc2c2cc3c4ccccc4n(-c4ccc(-c5nc(-c6ccccc6)nc(-c6ccccc6)n5)cc4)c3cc21,-5.009074512,-1.9516016080000005,2.6731,2.4862,0.1868999999999996
1,O=c1c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2sc2cccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c12,-4.781315094,-1.840306982,2.4956,2.3833,0.1122999999999998
2,c1ccc(-c2nc3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3nc2-c2ccccc2)cc1,-4.992203444,-1.895546124,2.7402,2.3265,0.4137000000000004
3,COc1ccc(C#Cc2ccc(C#Cc3ccc(OC)cc3)c3nccnc23)cc1,-5.038462824,-2.14017661,2.576,1.7053,0.8707
4,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(Oc4ccc(-n5c6ccc(-n7c8ccccc8c8ccccc87)cc6c6cc(-n7c8ccccc8c8ccccc87)ccc65)cc4)cc3)n2)cc1,-5.177785192,-1.927383462,3.0385,2.9464,0.0920999999999998
5,c1ccc(-n2c3ccccc3c3cc(-c4ccc5nc(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)nn5c4)ccc32)cc1,-5.198193742,-1.382611234,3.3929,2.8088,0.5840999999999998
6,N#Cc1nc2c3ccc(-c4ccc(N5c6ccccc6Sc6ccccc65)cc4)cc3c3cc(-c4ccc(N5c6ccccc6Sc6ccccc65)cc4)ccc3c2nc1C#N,-5.147308424,-3.045772002,1.8546,1.8495,0.0051000000000001
7,c1ccc2c(c1)c1ccccc1c1cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)ccc21,-5.305134544,-1.336351854,3.5289,2.7314,0.7975000000000003
8,c1ccc2c(c1)Oc1ccccc1C21c2ccccc2-c2ccc(-c3ccc4c(c3)C3(c5ccccc5Oc5ccccc53)c3ccccc3-4)cc21,-5.42187145,-1.30886834,3.707,2.6645,1.0425
9,CC1(C)c2ccccc2N(c2ccc3c(c2)Oc2cccc4c2B3c2ccc(N3c5ccccc5C(C)(C)c5ccccc53)cc2O4)c2ccccc21,-4.944855608,-2.029154098,2.4182,2.4105,0.0077000000000002
10,N#Cc1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,-5.688815284,-1.837041614,3.227,3.0159,0.2111
