FID,SMILES,frequency
0,[16*]c1ccccc1,3174
1,[5*]N,795
2,[9*]n1c2ccccc2c2ccccc21,489
3,[14*]c1ncncn1,357
4,[16*]c1ccc2[nH]c3ccccc3c2c1,342
5,[8*]C(C)(C)C,273
6,[5*]N1c2ccccc2C(C)(C)c2ccccc21,187
7,[6*]C=O,164
8,[3*]OC,149
9,[3*]O,144
10,[5*]N1c2ccccc2Oc2ccccc21,131
11,[14*]c1ccncn1,84
12,[16*]c1c2ccccc2cc2ccccc12,74
13,[14*]c1cccs1,73
14,[14*]c1ccccn1,72
15,[16*]c1ccc(C#N)cc1,71
16,[7*]=C(c1ccccc1)c1ccccc1,61
17,[16*]c1ccc(C)cc1,55
18,[14*]c1nc2c3ccccc3c3ccccc3c2[nH]1,54
19,[9*]n1cnc2c3ccccc3c3ccccc3c21,54
20,[16*]c1ccc2ccc3cccc4ccc1c2c34,53
21,[16*]c1ccccc1C#N,53
22,[14*]c1cnccn1,52
23,[5*]N1c2ccccc2Sc2ccccc21,48
24,[14*]c1ncccn1,44
25,[16*]c1cccc2nsnc12,44
26,[4*]CC,42
27,[16*]c1cccc(C#N)c1,42
28,[7*]=Cc1ccccc1,41
29,[16*]c1ccccc1C,40
30,[16*]c1ccc(Cc2ccccc2)cc1,40
31,[14*]c1cnc2ccccc2n1,37
32,[16*]c1ccncc1,34
33,[16*]c1cccnc1,31
34,[8*]C(C)C,29
35,[5*]N1c2ccccc2C(c2ccccc2)(c2ccccc2)c2ccccc21,28
36,[16*]c1cccc(C)c1,28
37,[14*]c1ncc(C#N)cc1C#N,28
38,[8*]CCCC,28
39,[1*]C=O,28
40,[8*]C(F)(F)F,27
41,[16*]c1cccc2ccccc12,26
42,[5*]N1c2ccccc2C2(c3ccccc3-c3ccccc32)c2ccccc21,25
43,[16*]c1cccc2c1sc1ccccc12,24
44,[14*]c1nnco1,24
45,[11*]S,24
46,[16*]c1ccc(S(=O)(=O)c2ccccc2)cc1,23
47,[16*]c1ccc2c(c1)C(C)(C)c1ccccc1N2,22
48,[16*]c1ccc2c(c1)c1ccccc1c1nc3ccccc3nc21,21
49,[8*]C,21
50,[7*]=C(C#N)C#N,20
51,[16*]c1ccc(P(=O)(c2ccccc2)c2ccccc2)cc1,20
52,[16*]c1c2ccccc2cc2nsnc12,20
53,[16*]c1ccc2c(c1)c1ccccc1c1nc(C#N)c(C#N)nc21,20
54,[9*]n1cnc2ccccc21,19
55,[9*]n1c2ccccc2c2c3[nH]c4ccccc4c3c3[nH]c4ccccc4c3c21,18
56,[16*]c1ccc2c(c1)C(C)(C)c1ccccc1-2,18
57,[14*]c1cc2sc3ccsc3c2s1,17
58,[10*]N1C(=O)c2cccc3cccc(c23)C1=O,16
59,[14*]c1nc2ccccc2[nH]1,16
60,[16*]c1c(C#N)cncc1C#N,16
61,[16*]c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,16
62,[16*]c1ccc2oc3ccccc3c2c1,15
63,[16*]c1cc(C)ccc1C,14
64,[16*]c1ccc2c(ccc3nc4ccc5ccccc5c4nc32)c1,14
65,[4*]C,13
66,[5*]N(C)C,13
67,[16*]c1ccc2c3c(cccc13)C(=O)NC2=O,13
68,[16*]c1ccc2c(c1)[nH]c1ccccc12,12
69,[16*]c1ccc2c(c1)B1c3ccccc3Oc3cccc(c31)O2,12
70,[14*]c1ccc2cccnc2n1,12
71,[16*]c1ccc(C#Cc2ccc(C#Cc3ccccc3)c3nccnc23)cc1,12
72,[4*]CCCC,12
73,[16*]c1ccc2nc3c4ccccc4c4ccccc4c3nc2c1,12
74,[14*]c1ccc(C)s1,11
75,[16*]c1cccc2c1oc1ccccc12,11
76,[7*]=Cc1cccs1,11
77,[16*]c1ccsc1,11
78,[16*]c1ccc(C2(c3ccccc3)c3ccccc3-c3ccccc32)cc1,11
79,[4*]CCCCCC,10
80,[16*]c1ccc2c(c1)B(c1ccccc1)c1ccccc1N2,10
81,[4*]CCCCCCCCCC,10
82,[16*]c1ccccc1B1c2ccccc2Nc2ccccc21,10
83,[9*]n1c2ccccc2c2cc3c(cc21)[nH]c1ccccc13,10
84,[16*]c1cc2cccc3ccc4cccc1c4c32,10
85,[6*]C(=O)C=O,10
86,[8*]CC,9
87,[16*]c1ccccc1O,9
88,[16*]c1ccc(B(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)cc1,9
89,[16*]c1cc2c3c(c1)Oc1ccccc1B3c1ccccc1O2,8
90,[16*]c1ccc2sc3ccccc3c2c1,8
91,[7*]=Cc1nc2c3ccccc3c3ccccc3c2[nH]1,8
