SMILES,Idx,FID
[8*]CC,0,86
[9*]n1c2ccccc2c2cc3c4ccccc4n([9*])c3cc21,0,83
[9*]n1c2ccccc2c2cc3c4ccccc4n([9*])c3cc21,18,83
[16*]c1ccc([16*])cc1,0,0
[16*]c1ccc([16*])cc1,5,0
[14*]c1nc([14*])nc([14*])n1,0,3
[14*]c1nc([14*])nc([14*])n1,4,3
[14*]c1nc([14*])nc([14*])n1,7,3
[16*]c1ccccc1,0,0
[16*]c1ccc2c(=O)c3c([16*])cccc3sc2c1,0,237
[16*]c1ccc2c(=O)c3c([16*])cccc3sc2c1,9,580
[5*]N([5*])[5*],0,1
[5*]N([5*])[5*],2,1
[5*]N([5*])[5*],3,1
[14*]c1nc2ccc([16*])cc2nc1[14*],0,31
[14*]c1nc2ccc([16*])cc2nc1[14*],7,131
[14*]c1nc2ccc([16*])cc2nc1[14*],12,31
[3*]OC,0,8
[16*]c1ccc(C#Cc2ccc(C#Cc3ccc([16*])cc3)c3nccnc23)cc1,0,71
[16*]c1ccc(C#Cc2ccc(C#Cc3ccc([16*])cc3)c3nccnc23)cc1,17,71
[3*]O[3*],0,9
[3*]O[3*],2,9
[9*]n1c2ccc([16*])cc2c2cc([16*])ccc21,0,2
[9*]n1c2ccc([16*])cc2c2cc([16*])ccc21,6,4
[9*]n1c2ccc([16*])cc2c2cc([16*])ccc21,12,4
[9*]n1c2ccccc2c2ccccc21,0,2
[9*]n1c2ccccc2c2cc([16*])ccc21,0,2
[9*]n1c2ccccc2c2cc([16*])ccc21,11,4
[14*]c1nc2ccc([16*])cn2n1,0,146
[14*]c1nc2ccc([16*])cn2n1,7,368
[16*]c1ccc2c(c1)c1cc([16*])ccc1c1nc(C#N)c(C#N)nc21,0,53
[16*]c1ccc2c(c1)c1cc([16*])ccc1c1nc(C#N)c(C#N)nc21,10,53
[5*]N1c2ccccc2Sc2ccccc21,0,23
[16*]c1ccc2c3ccccc3c3ccccc3c2c1,0,94
[16*]c1ccc2c(c1)C1(c3ccccc3Oc3ccccc31)c1ccccc1-2,0,382
[5*]N1c2ccccc2C(C)(C)c2ccccc21,0,6
[16*]c1ccc2c(c1)Oc1cccc3c1B2c1ccc([16*])cc1O3,0,213
[16*]c1ccc2c(c1)Oc1cccc3c1B2c1ccc([16*])cc1O3,19,213
[16*]c1cc([16*])cc(C#N)c1,0,27
[16*]c1cc([16*])cc(C#N)c1,4,27
[16*]c1ccc(S(=O)(=O)c2ccc([16*])cc2)cc1,0,46
[16*]c1ccc(S(=O)(=O)c2ccc([16*])cc2)cc1,12,46
[5*]N1c2ccccc2[Si](c2ccccc2)(c2ccccc2)c2ccccc21,0,130
[4*]CCCCCCCCCC,0,81
[16*]c1cccc([16*])c1,0,0
[16*]c1cccc([16*])c1,6,0
[9*]n1c2ccccc2c2c3c(ccc21)-c1ccccc1C31c2ccccc2-c2ccccc21,0,172
[16*]c1ccc2c(c1)C(c1ccccc1)(c1ccccc1)c1ccccc1-2,0,330
[16*]c1ccc(C#N)c2ccccc12,0,285
[9*]n1c([14*])nc2c3ccccc3c3ccccc3c21,0,19
[9*]n1c([14*])nc2c3ccccc3c3ccccc3c21,3,18
[16*]c1cccc2ccccc12,0,41
[16*]c1cccc(C2(c3cccc([16*])c3)c3ccccc3Sc3ccccc32)c1,0,242
[16*]c1cccc(C2(c3cccc([16*])c3)c3ccccc3Sc3ccccc32)c1,12,242
[16*]c1ccccc1[16*],0,0
[16*]c1ccccc1[16*],7,0
[14*]c1nc2c3ccccc3c3ccccc3c2o1,0,128
[16*]c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccc([16*])cc2)cc1,0,61
