MolID,SMILES
537,N#Cc1c(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cncc1-c1ccc(-n2c3ccccc3c3ccccc32)cc1
815,O=c1c2ccccc2oc2ccc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc12
414,CC1(C)c2ccccc2N(c2ccc(-c3ncc(C#N)cn3)cc2)c2ccccc21
91,c1ccc(N(c2ccccc2)c2ccc(-c3ccc4cccnc4n3)cc2)cc1
402,CC1(C)c2ccccc2N(c2cccc3nc4c5ccccc5c5ccccc5c4nc23)c2ccccc21
920,COC(=O)c1cccc(C(=O)OC)c1N(c1ccc(C(C)(C)C)cc1)c1ccc(C(C)(C)C)cc1
335,O=S1(=O)c2ccccc2N(c2ccccc2)c2cc(N3c4ccccc4Oc4ccccc43)ccc21
27,CCCCCCCCN1C(=O)c2cccc3c(-c4ccc(C=C(C#N)C#N)s4)ccc(c23)C1=O
999,Cc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(C)ccc1N2c1ccc2c3c(cccc13)-c1nc3cc(C#N)c(C#N)cc3nc1-2
957,CC1(C)c2ccccc2N(c2ccc(-c3ccc(C#N)cn3)cc2)c2ccccc21
274,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc4c(c3)c3ccccc3c3nc5cc(C#N)c(C#N)cc5nc43)cc2)cc1
915,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5c(c6ccccc64)CCc4c-5n(-c5ccccc5)c5ccccc45)cc3)n2)cc1
648,O=C(c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1)c1ccc2ccccc2n1
938,CC1(C)c2ccccc2-c2ccc(N(c3ccccc3)c3ccc(-c4ccc(-c5ccc(-c6cc7cccc8ccc9cccc6c9c87)cc5)cc4-c4ccccc4)cc3)cc21
658,CC1(C)c2ccccc2N(c2ccc3ccc(N4c5ccccc5C(C)(C)c5ccccc54)nc3n2)c2ccccc21
509,C1=C(c2ccccc2)C=C(c2ccccn2)P2(=C1c1ccccc1)Oc1ccccc1O2
830,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3-n3c4ccccc4c4cc(-c5ccc6c(c5)c5ccccc5n6-c5ccccc5-c5nc(-c6ccccc6)nc(-c6ccccc6)n5)ccc43)n2)cc1
767,c1cc(-c2cccc(-c3cccc4c3sc3ccccc34)c2)cc(-c2cccc3c2sc2ccccc23)c1
510,c1ccc(-c2nc(-c3ccc(N4c5ccccc5Sc5ccccc54)cc3)nn2-c2ccc(N3c4ccccc4Sc4ccccc43)cc2)nc1
149,CC(C)(C)c1ccc(-n2c(-c3ccc(-c4ccc(-c5ccc(C(=C(c6ccccc6)c6ccccc6)c6ccccc6)cc5)c5nsnc45)s3)nc3c4ccccc4c4ccccc4c32)cc1
831,c1ccc(N(c2ccccc2)c2ccc(-c3c4ccccc4c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c4nsnc34)cc2)cc1
157,Cc1c(-c2ccccc2)cc(N2C(=O)c3cccc4c(N(c5ccc(-c6ccccc6)cc5)c5ccc6c(c5)C(C)(C)c5ccccc5-6)ccc(c34)C2=O)cc1-c1ccccc1
998,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-c4c5ccccc5c(-c5c6ccccc6c(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)c6ccccc56)c5ccccc45)cc3)n2)cc1
12,CCCCCCCCCCOc1ccc(C#Cc2ccc(C#Cc3ccc(OCCCCCCCCCC)cc3)c3nccnc23)cc1
941,O=C1C(=Cc2cc3sc4cc(-c5ccc(N(c6ccccc6)c6ccccc6)cc5)sc4c3s2)C(=O)c2ccccc21
33,Cc1nc(C)c(C#N)c(-c2ccc(N3c4ccccc4Oc4ccccc43)cc2)c1C#N
352,CCCCCCCCCOc1ccc(-c2cc(-c3cccs3)nc(-c3ccc(/C=C/c4ccc(N(c5ccccc5)c5ccc(/C=C/c6ccc(-c7cc(-c8ccc(OCCCCCCCCC)cc8)cc(-c8cccs8)n7)s6)cc5)cc4)s3)c2)cc1
37,CC1(C)c2ccccc2N(c2ccc(-c3nnc(-c4ccc(N5c6ccccc6C(C)(C)c6ccccc65)cc4)o3)cc2)c2ccccc21
988,CC1(C)c2ccccc2N(c2ccc3c(c2)c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2c2nc4nc(N5c6ccccc6C(C)(C)c6ccccc65)ccc4nc32)c2ccccc21
49,O=P(c1ccccc1)(c1ccccc1)c1ccc(Oc2ccccc2)c(P(=O)(c2ccccc2)c2ccccc2)c1
507,Clc1ccc2c(c1)c1ccccc1c1c2sc2c3ccc(Cl)cc3c3ccccc3c21
425,N#Cc1c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c(C(F)(F)F)c1-n1c2ccccc2c2ccccc21
657,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c2nc(-c3ccccc3)c(-c3ccccc3)nc12
807,CC1(C)c2ccccc2N(c2ccc3c4c(cccc24)-c2nc4cc(C#N)c(C#N)cc4nc2-3)c2ccccc21
847,N#Cc1c(-n2c3ccccc3c3ccccc32)c(C#N)c(-n2c3ccccc3c3ccccc32)c(C(F)(F)F)c1-n1c2ccccc2c2ccccc21
442,N#Cc1nc2c3ccc(-c4ccc(N5c6ccccc6Oc6ccccc65)cc4)cc3c3cc(-c4ccc(N5c6ccccc6Oc6ccccc65)cc4)ccc3c2nc1C#N
404,COc1ccc2c(c1)c1cc(OC)ccc1n2-c1nc2ccccc2nc1-n1c2ccc(OC)cc2c2cc(OC)ccc21
508,COc1ccc2c(c1)c1ccccc1n2-c1c(C#N)c(-n2c3ccccc3c3cc(OC)ccc32)c(-n2c3ccccc3c3cc(OC)ccc32)c(-n2c3ccccc3c3cc(OC)ccc32)c1C#N
731,O=C(c1ccc(N2c3ccccc3Sc3ccccc32)cc1)c1ccc(P(=O)(c2ccccc2)c2ccccc2)cc1
616,CC(C)(C)c1ccc(-c2ccc3c(c2)C(C)(C)c2cc(-c4ccc(C(C)(C)C)cc4)ccc2N3c2ccc3c4c(cccc24)C(=O)N(c2ccc(C(C)(C)C)cc2)C3=O)cc1
1106,CC1(C)c2ccccc2N(c2ccc3c(c2)-c2cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc2P3(=O)c2ccccc2)c2ccccc21
650,O=C(/C=C/C(=O)c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1)c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1
889,Fc1ccccc1C1=CC(c2ccccc2)=CC(c2ccccc2F)=P12OCCO2
48,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-c4ccc(N5c6ccccc6[Si](c6ccccc6)(c6ccccc6)c6ccccc65)cc4)cc3)n2)cc1
812,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5c6c(ccc54)-c4ccccc4C6(c4ccccc4)c4ccccc4)cc3)n2)cc1
261,O=C(c1ccccc1)c1ccc2nc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)c(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)nc2c1
374,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccc(-n6c7ccccc7c7ccccc76)cc5c5cc(-n6c7ccccc7c7ccccc76)ccc54)cc3)n2)cc1
582,O=P(c1ccccc1)(c1ccccc1)c1ccc(P(=O)(c2ccccc2)c2ccc(P(=O)(c3ccccc3)c3ccccc3)cc2)cc1
287,CC(C)(C)c1cc(P(=O)(c2ccccc2)c2ccccc2)c2[nH]c3c(P(=O)(c4ccccc4)c4ccccc4)cc(C(C)(C)C)cc3c2c1
231,Cc1cc(P(=O)(c2ccccc2)c2ccccc2)ccc1-c1c2ccccc2cc2ccccc12
184,c1ccc2nc(-n3c4ccccc4c4ccccc43)c(-n3c4ccccc4c4ccccc43)nc2c1
79,CC1(C)c2ccccc2N(c2cc(-c3cc(-c4ccc(-c5ccccc5)cc4)nc(-c4ccccc4)n3)cc(N3c4ccccc4C(C)(C)c4ccccc43)c2)c2ccccc21
785,N#Cc1ccc(N2c3ccccc3Oc3ccccc32)cc1-c1cc(N2c3ccccc3Oc3ccccc32)ccc1C#N
